,dataset,model,annotator,precision,recall,f1_score,y_labels,order
251,concept_treatment_extraction,mistral-7b,Annotator_9,0.05436486361022284,0.5344931886204582,0.0888479596537575,Mistral (7b),0
164,concept_test_extraction,mistral-7b,Annotator_6,0.2520163270010329,0.32594798957412074,0.19680954645526913,Mistral (7b),0
165,concept_test_extraction,mistral-7b,Annotator_7,0.2815341610566055,0.3067628002716441,0.23023366950539614,Mistral (7b),0
166,concept_test_extraction,mistral-7b,Annotator_8,0.4365483400424691,0.3326641097628581,0.3012609383070697,Mistral (7b),0
167,concept_test_extraction,mistral-7b,Annotator_9,0.12749072639204698,0.38861134773530936,0.1307137644656408,Mistral (7b),0
240,concept_treatment_extraction,mistral-7b,Annotator_1,0.0592201387575474,0.5177157719399048,0.09384201330695409,Mistral (7b),0
241,concept_treatment_extraction,mistral-7b,Annotator_10,0.05305851834560418,0.5357091578528697,0.08680553422068595,Mistral (7b),0
163,concept_test_extraction,mistral-7b,Annotator_5,0.14148214346366347,0.35616780962015293,0.15482693861679817,Mistral (7b),0
242,concept_treatment_extraction,mistral-7b,Annotator_11,0.15672688711844723,0.5597109673994881,0.21319445399864267,Mistral (7b),0
244,concept_treatment_extraction,mistral-7b,Annotator_2,0.06300534791829715,0.4111364141981849,0.09044654335558835,Mistral (7b),0
245,concept_treatment_extraction,mistral-7b,Annotator_3,0.052271017408697995,0.52535055864259,0.08579362620048511,Mistral (7b),0
246,concept_treatment_extraction,mistral-7b,Annotator_4,0.23318206958065435,0.49703432823342625,0.27003752802258274,Mistral (7b),0
247,concept_treatment_extraction,mistral-7b,Annotator_5,0.14269399533166255,0.5465897502116355,0.1910891669531942,Mistral (7b),0
248,concept_treatment_extraction,mistral-7b,Annotator_6,0.2528953613167828,0.5446856638135741,0.3033286945547565,Mistral (7b),0
249,concept_treatment_extraction,mistral-7b,Annotator_7,0.18528668283680466,0.4633992850270131,0.23319701851193095,Mistral (7b),0
243,concept_treatment_extraction,mistral-7b,Annotator_12,0.18108449515271705,0.5601505361531937,0.23420299003487988,Mistral (7b),0
250,concept_treatment_extraction,mistral-7b,Annotator_8,0.05586899023958129,0.5170164865699777,0.09137443329807532,Mistral (7b),0
162,concept_test_extraction,mistral-7b,Annotator_4,0.2940310732721258,0.30587369429799466,0.23614094151948495,Mistral (7b),0
160,concept_test_extraction,mistral-7b,Annotator_2,0.06351973735441246,0.37540939544642493,0.0792934775877732,Mistral (7b),0
74,concept_problem_extraction,mistral-7b,Annotator_11,0.30468347932083323,0.4452791808263248,0.32875876727781383,Mistral (7b),0
75,concept_problem_extraction,mistral-7b,Annotator_12,0.36170126582882917,0.3519370470394308,0.3107408204288852,Mistral (7b),0
76,concept_problem_extraction,mistral-7b,Annotator_2,0.25833934063093345,0.3862370905167599,0.25085901208026584,Mistral (7b),0
77,concept_problem_extraction,mistral-7b,Annotator_3,0.16483341404279436,0.44474374848825715,0.20883052099004895,Mistral (7b),0
78,concept_problem_extraction,mistral-7b,Annotator_4,0.38203283554976136,0.30825224728321265,0.29464524736927256,Mistral (7b),0
79,concept_problem_extraction,mistral-7b,Annotator_5,0.2960600200527521,0.3934672445281997,0.3004632406913388,Mistral (7b),0
161,concept_test_extraction,mistral-7b,Annotator_3,0.04200003963485545,0.5019246563768365,0.06303869597293116,Mistral (7b),0
80,concept_problem_extraction,mistral-7b,Annotator_6,0.24155910178277532,0.4122656092741331,0.2518990517437958,Mistral (7b),0
82,concept_problem_extraction,mistral-7b,Annotator_8,0.14499294372136914,0.4544352008485699,0.1826058394216869,Mistral (7b),0
83,concept_problem_extraction,mistral-7b,Annotator_9,0.2353996394697089,0.4436248912685301,0.2647974195685243,Mistral (7b),0
156,concept_test_extraction,mistral-7b,Annotator_1,0.058375075605342,0.44425570041146467,0.08215211457010363,Mistral (7b),0
157,concept_test_extraction,mistral-7b,Annotator_10,0.04664889106700391,0.47886484035114474,0.0685386401711118,Mistral (7b),0
158,concept_test_extraction,mistral-7b,Annotator_11,0.13401111796283005,0.38142680332196455,0.15898481666003497,Mistral (7b),0
159,concept_test_extraction,mistral-7b,Annotator_12,0.13587850312324715,0.38317207176403045,0.14644494528971622,Mistral (7b),0
